ID	PHASE	BENCH	M2	METHOD	SELECT	DIVERSE	STAGE1	R	TAU	METRIC	VALUE	GEN	M1_MEAN	M1_STD	M1_MIN	M1_MAX
F50-32s	phase1-fixed50	pope	32	simple_avg	fixed	fixed	64	0.5	0.7	AvgF1	0.7677389906579815	8910/8910	64.00	0.00	64	64
F50-32w	phase1-fixed50	pope	32	weighted_avg	fixed	fixed	64	0.5	0.7	AvgF1	0.772386503182283	8910/8910	64.00	0.00	64	64
F50-64s	phase1-fixed50	pope	64	simple_avg	fixed	fixed	128	0.5	0.7	AvgF1	0.822186073162912	8910/8910	128.00	0.00	128	128
F50-64w	phase1-fixed50	pope	64	weighted_avg	fixed	fixed	128	0.5	0.7	AvgF1	0.8195428223581803	8910/8910	128.00	0.00	128	128
F50-128s	phase1-fixed50	pope	128	simple_avg	fixed	fixed	256	0.5	0.7	AvgF1	0.8577899942242787	8910/8910	256.00	0.00	256	256
F50-128w	phase1-fixed50	pope	128	weighted_avg	fixed	fixed	256	0.5	0.7	AvgF1	0.8592950290457301	8910/8910	256.00	0.00	256	256
F50-32s	phase1-fixed50	gqa	32	simple_avg	fixed	fixed	64	0.5	0.7	Acc	53.76	12578/12578	64.00	0.00	64	64
F50-32w	phase1-fixed50	gqa	32	weighted_avg	fixed	fixed	64	0.5	0.7	Acc	53.84	12578/12578	64.00	0.00	64	64
F50-64s	phase1-fixed50	gqa	64	simple_avg	fixed	fixed	128	0.5	0.7	Acc	56.69	12578/12578	128.00	0.00	128	128
F50-64w	phase1-fixed50	gqa	64	weighted_avg	fixed	fixed	128	0.5	0.7	Acc	56.81	12578/12578	128.00	0.00	128	128
F50-128s	phase1-fixed50	gqa	128	simple_avg	fixed	fixed	256	0.5	0.7	Acc	58.48	12578/12578	256.00	0.00	256	256
F50-128w	phase1-fixed50	gqa	128	weighted_avg	fixed	fixed	256	0.5	0.7	Acc	58.48	12578/12578	256.00	0.00	256	256
AGG-32s	phase1-attngain-greedygain	pope	32	simple_avg	attngain	greedygain	576	0.5	0.7	AvgF1	0.8046546248800804	8910/8910	105.17	19.21	55	158
AGG-32w	phase1-attngain-greedygain	pope	32	weighted_avg	attngain	greedygain	576	0.5	0.7	AvgF1	0.8114699240434659	8910/8910	105.17	19.21	55	158
AGG-64s	phase1-attngain-greedygain	pope	64	simple_avg	attngain	greedygain	576	0.5	0.7	AvgF1	0.8467087731600205	8910/8910	105.20	19.12	64	158
AGG-64w	phase1-attngain-greedygain	pope	64	weighted_avg	attngain	greedygain	576	0.5	0.7	AvgF1	0.8485219742804596	8910/8910	105.20	19.12	64	158
AGG-128s	phase1-attngain-greedygain	pope	128	simple_avg	attngain	greedygain	576	0.5	0.7	AvgF1	0.8576083030065612	8910/8910	129.22	4.25	128	158
AGG-128w	phase1-attngain-greedygain	pope	128	weighted_avg	attngain	greedygain	576	0.5	0.7	AvgF1	0.8583378196121639	8910/8910	129.22	4.25	128	158
AGG-32s	phase1-attngain-greedygain	gqa	32	simple_avg	attngain	greedygain	576	0.5	0.7	Acc	54.56	12578/12578	107.26	20.08	61	177
AGG-32w	phase1-attngain-greedygain	gqa	32	weighted_avg	attngain	greedygain	576	0.5	0.7	Acc	54.40	12578/12578	107.26	20.08	61	177
AGG-64s	phase1-attngain-greedygain	gqa	64	simple_avg	attngain	greedygain	576	0.5	0.7	Acc	56.73	12578/12578	107.27	20.06	64	177
AGG-64w	phase1-attngain-greedygain	gqa	64	weighted_avg	attngain	greedygain	576	0.5	0.7	Acc	57.13	12578/12578	107.27	20.06	64	177
AGG-128s	phase1-attngain-greedygain	gqa	128	simple_avg	attngain	greedygain	576	0.5	0.7	Acc	58.79	12578/12578	129.90	5.91	128	177
AGG-128w	phase1-attngain-greedygain	gqa	128	weighted_avg	attngain	greedygain	576	0.5	0.7	Acc	58.71	12578/12578	129.90	5.91	128	177
AGG-32s	phase1-attngain-greedygain	textvqa	32	simple_avg	attngain	greedygain	576	0.5	0.7	Acc	50.41	5000/5000	111.99	25.11	56	303
AGG-32w	phase1-attngain-greedygain	textvqa	32	weighted_avg	attngain	greedygain	576	0.5	0.7	Acc	51.80	5000/5000	111.99	25.11	56	303
AGG-64s	phase1-attngain-greedygain	textvqa	64	simple_avg	attngain	greedygain	576	0.5	0.7	Acc	52.81	5000/5000	112.01	25.07	64	303
AGG-64w	phase1-attngain-greedygain	textvqa	64	weighted_avg	attngain	greedygain	576	0.5	0.7	Acc	53.44	5000/5000	112.01	25.07	64	303
AGG-128s	phase1-attngain-greedygain	textvqa	128	simple_avg	attngain	greedygain	576	0.5	0.7	Acc	56.20	5000/5000	132.22	13.14	128	303
AGG-128w	phase1-attngain-greedygain	textvqa	128	weighted_avg	attngain	greedygain	576	0.5	0.7	Acc	55.98	5000/5000	132.22	13.14	128	303
AGG-32s	phase1-attngain-greedygain	sqa	32	simple_avg	attngain	greedygain	576	0.5	0.7	Acc	69.32	4241/4241	91.47	20.64	48	207
AGG-32w	phase1-attngain-greedygain	sqa	32	weighted_avg	attngain	greedygain	576	0.5	0.7	Acc	69.63	4241/4241	91.47	20.64	48	207
AGG-64s	phase1-attngain-greedygain	sqa	64	simple_avg	attngain	greedygain	576	0.5	0.7	Acc	69.77	4241/4241	91.81	20.11	64	207
AGG-64w	phase1-attngain-greedygain	sqa	64	weighted_avg	attngain	greedygain	576	0.5	0.7	Acc	69.75	4241/4241	91.81	20.11	64	207
AGG-128s	phase1-attngain-greedygain	sqa	128	simple_avg	attngain	greedygain	576	0.5	0.7	Acc	69.65	4241/4241	128.76	4.49	128	207
AGG-128w	phase1-attngain-greedygain	sqa	128	weighted_avg	attngain	greedygain	576	0.5	0.7	Acc	69.75	4241/4241	128.76	4.49	128	207
F50-32s	phase1-fixed50	textvqa	32	simple_avg	fixed	fixed	64	0.5	0.7	Acc	53.28	5000/5000	64.00	0.00	64	64
F50-32w	phase1-fixed50	textvqa	32	weighted_avg	fixed	fixed	64	0.5	0.7	Acc	53.49	5000/5000	64.00	0.00	64	64
F50-64s	phase1-fixed50	textvqa	64	simple_avg	fixed	fixed	128	0.5	0.7	Acc	54.38	5000/5000	128.00	0.00	128	128
F50-64w	phase1-fixed50	textvqa	64	weighted_avg	fixed	fixed	128	0.5	0.7	Acc	54.25	5000/5000	128.00	0.00	128	128
F50-128s	phase1-fixed50	textvqa	128	simple_avg	fixed	fixed	256	0.5	0.7	Acc	54.31	5000/5000	256.00	0.00	256	256
F50-128w	phase1-fixed50	textvqa	128	weighted_avg	fixed	fixed	256	0.5	0.7	Acc	55.07	5000/5000	256.00	0.00	256	256
F50-32s	phase1-fixed50	sqa	32	simple_avg	fixed	fixed	64	0.5	0.7	Acc	70.36	4241/4241	64.00	0.00	64	64
F50-32w	phase1-fixed50	sqa	32	weighted_avg	fixed	fixed	64	0.5	0.7	Acc	69.91	4241/4241	64.00	0.00	64	64
F50-64s	phase1-fixed50	sqa	64	simple_avg	fixed	fixed	128	0.5	0.7	Acc	69.87	4241/4241	128.00	0.00	128	128
F50-64w	phase1-fixed50	sqa	64	weighted_avg	fixed	fixed	128	0.5	0.7	Acc	69.84	4241/4241	128.00	0.00	128	128
F50-128s	phase1-fixed50	sqa	128	simple_avg	fixed	fixed	256	0.5	0.7	Acc	69.96	4241/4241	256.00	0.00	256	256
F50-128w	phase1-fixed50	sqa	128	weighted_avg	fixed	fixed	256	0.5	0.7	Acc	70.08	4241/4241	256.00	0.00	256	256
